2026-05-19 20:51:30,895 | DETECTION_SUBSCRIBER | INFO | Detection Subscriber Started
2026-05-19 20:51:30,896 | DETECTION_SUBSCRIBER | INFO | Loading YOLOv7 Model : C:\Users\nedur\Downloads\combined_data\new\best.pt
2026-05-19 20:51:32,428 | DETECTION_SUBSCRIBER | INFO | YOLOv7 Model Loaded Successfully
2026-05-19 20:51:32,489 | DETECTION_SUBSCRIBER | INFO | Waiting for Frames...
2026-05-19 20:51:32,489 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c2
2026-05-19 20:51:34,302 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:51:34,302 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:51:34,332 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:51:34,332 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:51:34,349 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:51:34,355 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:51:34,359 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:51:34,361 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:51:34,363 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:51:34,366 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:51:34,441 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c3
2026-05-19 20:51:36,203 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:51:36,203 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:51:36,237 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c1
2026-05-19 20:51:37,815 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:51:37,816 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:51:37,820 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:51:37,822 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:51:37,822 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:51:37,822 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:51:37,831 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:51:37,863 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c2
2026-05-19 20:51:39,488 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:51:39,499 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:51:39,503 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:51:39,507 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:51:39,516 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:51:39,524 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:51:39,530 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:51:39,534 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:51:39,561 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c3
2026-05-19 20:51:41,174 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:51:41,179 | DETECTION_SUBSCRIBER | INFO | Published To : safety
